date,state,city_or_county,address,latitude,longitude,congressional_district,state_house_district,state_senate_district,participant_age1,participant_age_group1,participant_gender1,min_age_participants,avg_age_participants,max_age_participants,n_participants_child,n_participants_teen,n_participants_adult,n_males,n_females,n_killed,n_injured,n_arrested,n_unharmed,n_participants,notes,incident_characteristics1,incident_characteristics2,povertyPercentage,party,candidatevotes,totalvotes,year,city
2015-10-11,New York,Scipio Center (Venice),2815 Ledyard Road,42.7835,-76.5589,24.0,126.0,54.0,45.0,Adult 18+,Female,45.0,45.0,45.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,"intox perp fired at girlfriend's head, missed, no inj, arrested at friend's home",Shots Fired - No Injuries,Domestic Violence,13.2,,,,2015,
2015-05-12,Minnesota,Onigum,8700 block of Midway Drive NW,47.1199,-94.5109,8.0,,5.0,57.0,Adult 18+,Male,57.0,58.0,60.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,Murder/suicide; perpetrator not specified.,"Shot - Dead (murder, accidental, suicide)",Suicide^,8.6,,,,2015,
2017-02-03,Ohio,Cincinnati (Price Hill),,39.1019,-84.5133,1.0,32.0,9.0,,Adult 18+,Male,,,,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,"Woman gets in idling car at repair shop, drives away; 2nd woman shows weapon, fired on by mechanic w/ his own weapon; unknown if injured; sought;",Shots Fired - No Injuries,Car-jacking,12.4,,,,2017,Cincinnati
2017-10-08,Arizona,Pinetop,Church Ln and Rhoton Ln,34.1548,-109.975,1.0,7.0,7.0,46.0,Adult 18+,Male,46.0,46.0,46.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,"K-9 Officer was attacked by a pit bull that was in the house; Officer shot in leg, above his knee. COD pending",Shot - Wounded/Injured,"Shot - Dead (murder, accidental, suicide)",12.1,,,,2017,
2017-05-04,California,Sanger (Minkler),17604 E Kings Canyon Rd,36.7328,-119.468,22.0,23.0,14.0,21.0,Adult 18+,Male,21.0,21.0,21.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,Shot - Wounded/Injured,Officer Involved Incident,11.4,,,,2017,
2017-03-06,California,Carmel Valley,E Carmel Valley Rd,36.4075,-121.593,20.0,30.0,17.0,35.0,Adult 18+,Male,35.0,35.0,35.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,Report # FG1701118,Non-Shooting Incident,Stolen/Illegally owned gun{s} recovered during arrest/warrant,11.4,,,,2017,
2014-11-30,Michigan,Fruitport Township,,43.1468,-86.175,2.0,91.0,34.0,15.0,Teen 12-17,Male,15.0,15.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,Felony charge follows juvenile deliberately shooting neighbor's small dog w/ pellet rifle. Died in front of children.,Brandishing/flourishing/open carry/lost/found,Animal shot/killed,12.9,REPUBLICAN,135568.0,213072.0,2014,
2017-06-15,Alabama,Bessemer (Brighton),Council Ave,33.4497,-86.9486,7.0,57.0,19.0,39.0,Adult 18+,Male,39.0,39.0,39.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,"33.449726, -86.950509 ;","Shot - Dead (murder, accidental, suicide)",,14.7,,,,2017,
2016-08-30,Missouri,Park Hills (Desloge),Old 8 Hwy,37.8683,-90.6055,8.0,117.0,3.0,48.0,Adult 18+,Male,48.0,48.0,48.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,"fail traffic stop, car crash, 1 suspect ran with guitar, 2nd suspect threat officer with gun, stole taser, no shots fired",Non-Shooting Incident,Officer Involved Incident,11.9,REPUBLICAN,229792.0,308871.0,2016,
2015-12-24,Florida,West Palm Beach (Mangonia Park),45th Street and Australian Avenue,26.7531,-80.0723,20.0,88.0,27.0,,,Male,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,Shot - Wounded/Injured,,14.3,,,,2015,
